Review,Sentiment
worest food. food quantity also very less ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Raita quantity is less,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Seems mixed white rice with biryani,testless","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
The worst biriyani I ever had,"{'neg': 0.506, 'neu': 0.494, 'pos': 0.0, 'compound': -0.6249}"
"I ordered butter chicken, however restaurant sent me mostly gravy. There was hardly any chicken in it.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Pieces is very less for 400 rs biryani. ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Briyani rice quantity is very less nowadays. Meghana foods has increased the price and has also decreased the quantity of rice. ,"{'neg': 0.0, 'neu': 0.905, 'pos': 0.095, 'compound': 0.2732}"
Food is cold,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Meghana is good ... Zomato is cheating to the customers,"{'neg': 0.248, 'neu': 0.552, 'pos': 0.2, 'compound': -0.1779}"
Less masala on rice just like white flavoured rice,"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.3612}"
"it was soo spicy , I have had the same biryani for more then 10 times but today the spice level was unbearable...bad bad quality..waste of chicken and so much rice. if there is already an option to of spicy biryani there is no need to make the regular biryani so spicy...will never order again...","{'neg': 0.129, 'neu': 0.871, 'pos': 0.0, 'compound': -0.8201}"
Worst lollipop in life,"{'neg': 0.577, 'neu': 0.423, 'pos': 0.0, 'compound': -0.6249}"
over rated,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"oh my god I feel terrified, there are leftover bones in the rice I can't imagine how it came, I feel like it's leftover food of last night and they send it me by just heating, I paid 401 it not really not worthy, I'm a regular customer of meghana foods since few days it's not that much quality as it was earlier I'm not gonna place any order from meghana now on.good bye .","{'neg': 0.053, 'neu': 0.857, 'pos': 0.09, 'compound': 0.2135}"
guthka packet found in chicken packet pathetic ,"{'neg': 0.381, 'neu': 0.619, 'pos': 0.0, 'compound': -0.5719}"
Biriani is too salty.. no masalas.. only making fool in name of Maghana,"{'neg': 0.317, 'neu': 0.683, 'pos': 0.0, 'compound': -0.6249}"
very good food ,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.4927}"
Late delivery,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
super spicy ðŸ¥µ,"{'neg': 0.0, 'neu': 0.204, 'pos': 0.796, 'compound': 0.5994}"
Lemon chicken was very bad taste a d seems to be old.,"{'neg': 0.296, 'neu': 0.704, 'pos': 0.0, 'compound': -0.5849}"
Paneer biryani taste was not good. It was very blend with no masala.,"{'neg': 0.307, 'neu': 0.693, 'pos': 0.0, 'compound': -0.5953}"
Paneer quantity too less as per price.Not worth.,"{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.2263}"
I order extra gravy but you forgot to send gravy sent raita extra...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
cold food,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Food is not fresh ,"{'neg': 0.395, 'neu': 0.605, 'pos': 0.0, 'compound': -0.2411}"
gravy was not up to par,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Food quality was very bad.,"{'neg': 0.487, 'neu': 0.513, 'pos': 0.0, 'compound': -0.5849}"
The food taste is not good technically it's not biriyani ,"{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.3412}"
"i feel that, I got different what I ordered ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Coke was missing from delivery,"{'neg': 0.355, 'neu': 0.645, 'pos': 0.0, 'compound': -0.296}"
worst biryani I've ever had in meghana's. food was cold and taste was a let down this time. spices were not mixed properly. can't believe I spent 450 for this,"{'neg': 0.132, 'neu': 0.868, 'pos': 0.0, 'compound': -0.6249}"
Very less quantity it said serves 2 u send 4 pieces of cheicken,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Good was really bad today,"{'neg': 0.391, 'neu': 0.31, 'pos': 0.299, 'compound': -0.2247}"
Food is cold thumps up is warm,"{'neg': 0.0, 'neu': 0.759, 'pos': 0.241, 'compound': 0.2263}"
Yesterday we visited Marathahalli Meghana foods with friends.Order taker Mr kamdev  suggested chicken leg roast taste is awesome and excellent service .we enjoyed a lot ,"{'neg': 0.0, 'neu': 0.654, 'pos': 0.346, 'compound': 0.9022}"
Over cooked,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
we all' friends visited today meghana foods<br/>heavy rain is their but we want to eat meghana foods biriyani..<br/>nice food I love boneless chicken biriyanai with half egg yummy..fast service so super ,"{'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.9537}"
my name is Surya I'm coming from Hyderabad food was excellent but service is bad I'm order to fresh lime soda but given butter milk. order taker was talking very rudly I'm asking the name not responding.plz change the staffs service is very bad,"{'neg': 0.173, 'neu': 0.73, 'pos': 0.097, 'compound': -0.7351}"
there is no salt,"{'neg': 0.423, 'neu': 0.577, 'pos': 0.0, 'compound': -0.296}"
"all items are spoiled and cool not sure when they cooked and now they sent to me this is very frustrating... they did not even check whether the items are hot, fresh or cool. ","{'neg': 0.05, 'neu': 0.772, 'pos': 0.178, 'compound': 0.6044}"
Meghana food quality/taste was disappointing.,"{'neg': 0.444, 'neu': 0.556, 'pos': 0.0, 'compound': -0.4939}"
not much taste ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Executive was not helpful he switched offed his mobile and did not responded to the call and we went to his location and collected the items completely unhappy with this service....collected the items at 11:45pm,"{'neg': 0.141, 'neu': 0.859, 'pos': 0.0, 'compound': -0.6625}"
The taste was not up to the mark,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Hardly we got 10 cashews in entire kaju curry.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Horrible food . Was dry and cold. We r regular meghana customers but today dish was horrible,"{'neg': 0.35, 'neu': 0.65, 'pos': 0.0, 'compound': -0.7906}"
not good i order boneless ckn biryani <br/>but u send with bone so <br/>worst response ,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.3412}"
I'm a regular customer you didn't followed my instructions I feel bad paying huge amount and you are not sending the lemon which I have mentioned in the instructions.,"{'neg': 0.117, 'neu': 0.805, 'pos': 0.077, 'compound': -0.296}"
chicken in the tandoori wasn't from today for sure. it was nasty. didn't expect this from meghana after being a loyal customer for a very long time.,"{'neg': 0.116, 'neu': 0.71, 'pos': 0.174, 'compound': 0.2023}"
"Donâ€™t order food from Meghna, they put chicken inside the veg items","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Paneer Biriyani is not good,"{'neg': 0.376, 'neu': 0.624, 'pos': 0.0, 'compound': -0.3412}"
"it's not at all hot, more than the rice given only masala, and curds also  to watery, felt like they have given leftover food, if they didn't have food why accepted the order. very bad service ","{'neg': 0.092, 'neu': 0.797, 'pos': 0.111, 'compound': -0.0498}"
"I wondered , I ordered  biryani order coloured rice the taste is like a coloured rice ","{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.3612}"
"The taste is great, but we have less quantity, so we can't serve today's order for two people ","{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.3716}"
Today you people followed my instructions and food is delicious ðŸ˜‹ as usual from meghana.,"{'neg': 0.0, 'neu': 0.778, 'pos': 0.222, 'compound': 0.5719}"
Pepper chicken was hard. Seemed like prepared in afternoon and delivered in dinner,"{'neg': 0.089, 'neu': 0.633, 'pos': 0.278, 'compound': 0.4588}"
"They've given so much of raita, that everyone drank 1-1 litre and still so much left that it's created a drainage outside my house. Please don't trouble people by sending so much of raita.","{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.6765}"
we ordered lemon checken. this is not lemon chicken. food was good buti  dont want this restaurant,"{'neg': 0.064, 'neu': 0.784, 'pos': 0.152, 'compound': 0.3975}"
